"site_name","widths","clay","sand","om","bd","rfc"
"D66S2",1000,31.7565217391304,33.504347826087,0.867826086956522,1.51217391304348,16.8913043478261
"D66S2",2000,30.8,33.2,0.72,1.56,18.5
"D83S1",300,25.7333333333333,32.4,3.78,1.29,17.8666666666667
"D83S1",1000,28.2260869565217,31.7434782608696,0.90304347826087,1.4695652173913,17.0434782608696
"D83S1",2000,28.4,32.7,0.59,1.5,18
"D83S2",300,24.7,30.1,3.77333333333333,1.33,15.0666666666667
"D83S2",1000,31.1869565217391,26.7260869565217,0.892173913043478,1.46260869565217,13.8869565217391
"D83S2",2000,31.1,26.9,0.64,1.48,14.8
"D83S3",300,28.7666666666667,23.2,3.40666666666667,1.30333333333333,18.0333333333333
"D83S3",1000,27.9086956521739,24.0521739130435,0.903478260869565,1.4895652173913,15.5565217391304
"D83S3",2000,29.3,24.4,0.56,1.52,16.6
"D84S1",300,26.2333333333333,33.8,3.67333333333333,1.31,15.9666666666667
"D84S1",1000,31.2739130434783,30.7434782608696,0.956086956521739,1.51260869565217,14.7608695652174
"D84S1",2000,30.1,30.7,0.63,1.53,16.5
"D84S2",300,27.5,27,3.25333333333333,1.36,16.7333333333333
"D84S2",1000,32.1086956521739,25.0608695652174,1.0295652173913,1.51521739130435,15.0260869565217
"D84S2",2000,32.5,24.8,0.66,1.55,16.2
"D06S1",300,27.1,27.1666666666667,3.71333333333333,1.37,18.9333333333333
"D06S1",1000,26.4782608695652,28.3391304347826,1.36521739130435,1.48521739130435,21.5521739130435
"D06S1",2000,27,28.6,1,1.52,24.9
"D06S2",300,27.5,36.4,3.46333333333333,1.34333333333333,15.9
"D06S2",1000,31.5826086956522,34.1434782608696,1.19521739130435,1.4895652173913,17.3217391304348
"D06S2",2000,32.8,34.1,1.13,1.52,18.8
"D06S3",300,22.8333333333333,34.0666666666667,4,1.30333333333333,16.2
"D06S3",1000,26.6304347826087,32.004347826087,0.964347826086957,1.49391304347826,16.404347826087
"D06S3",2000,28.5,32.7,0.76,1.52,17.1
"D2AS1",300,20.8666666666667,45.8,4.23666666666667,1.25666666666667,19.0333333333333
"D2AS1",1000,24.8565217391304,44.7260869565217,1.12739130434783,1.4695652173913,18.4260869565217
"D2AS1",2000,24.9,44.9,1.01,1.5,19.6
"D2AS2",300,15.9666666666667,46.4333333333333,4.07,1.18666666666667,20.2666666666667
